order_id,payment_installments,payment_sequential,payment_value,payment_type
b81ef226f3fe1789b1e8b2acac839d17,8,1,99,#credit_card
a9810da82917af2d9aefd1278f1dcfa0,1,1,24,#credit_card
25e8ea4e93396b6fa0d3dd708e76c1bd,1,1,66,#credit_card
ba78997921bbcdc1373bb41e913ab953,8,1,108,#credit_card
42fdf880ba16b47b59251dd489d4441a,2,1,128,#credit_card
298fcdf1f73eb413e4d26d01b25bc1cd,2,1,96,#credit_card
771ee386b001f06208a7419e4fc1bbd7,1,1,81,#credit_card
3d7239c394a212faae122962df514ac7,3,1,52,#credit_card
1f78449c87a54faf9e96e88ba1491fa9,6,1,341,#credit_card
0573b5e23cbd798006520e1d5b4c6714,1,1,52,#boleto
d88e0d5fa41661ce03cf6cf336527646,8,1,189,#credit_card
2480f727e869fdeb397244a21b721b67,1,1,142,#credit_card
616105c9352a9668c38303ad44e056cd,1,1,76,#credit_card
cf95215a722f3ebf29e6bbab87a29e61,5,1,103,#credit_card
769214176682788a92801d8907fa1b40,4,1,105,#credit_card
12e5cfe0e4716b59afb0e0f4a3bd6570,10,1,157,#credit_card
61059985a6fc0ad64e95d9944caacdad,1,1,132,#credit_card
79da3f5fe31ad1e454f06f95dc032ad5,1,1,99,#credit_card
8ac09207f415d55acff302df7d6a895c,4,1,244,#credit_card
b2349a3f20dfbeef62e7b31baa22f84b,3,1,137,#credit_card
5a1f6d22f7dfb061ef29216b9af687a1,4,1,48,#credit_card
4214cda550ece8ee66441f459dc33a8c,2,1,171,#credit_card
adfbf6c2a620196f9a3ec747491c72b7,4,1,68,#credit_card
4d680edbaa7d3d9bed69532957368a03,10,1,353,#credit_card
8cd68144cdb62dc0d60848cf8616d2a4,1,1,331,#boleto
5cfd514482e22bc992e7693f0e3e8df7,1,2,45,#voucher
d0a945f85ba1074b60aac97ade7e240e,2,1,541,#credit_card
c39414c195d0f94c9d9c35e7c6ed4f1a,2,1,139,#credit_card
5d9c5817e278892b7498d90bfa28ade8,2,1,290,#credit_card
b69b9260e79a0da00e15f48de1bd2524,1,1,283,#boleto
f45074ae38f2e01d9b854ec8d40362ff,1,1,14,#credit_card
81cedc4d2132eb6f512354166e51b187,1,1,30,#credit_card
595f598849d89203c28d05d0fbf3f92e,1,1,27,#credit_card
f9d0ec2fa088ac583e1ccd15b6686073,1,1,90,#credit_card
e647bf617de735448a4ba54f8910393c,1,1,65,#credit_card
b2bb080b6bc860118a246fd9b6fad6da,1,1,174,#credit_card
23f10f509600c30cf2852f9dbdf28fc3,1,1,103,#credit_card
f86f6472fa9f395d8d9a6751ca118afb,1,1,64,#credit_card
1dcf0c8cd36ffaf57784fbdc90079310,3,1,157,#credit_card
00d8d65b666158b633f96054d31af43b,1,1,131,#boleto
cf30fe76d1505192acee1c6dccb15545,2,1,48,#credit_card
d3e774a185c0b1b2286ffd6c70abe2e6,8,1,118,#credit_card
32b1d8f3789a57f1f752e20ac7404b4c,1,1,57,#boleto
c10d412026c4077b8e83acf0fea04eee,1,1,266,#credit_card
56c3277583e16009c925fdf116df420f,1,1,31,#boleto
0e0441786430b7cfcd0d91f822ea4c99,1,1,121,#credit_card
